room_dim_meter,theta_true,RSS1_dB,RSS2_dB
2,117,-58.12618504,-57.59095894
2,118,-57.61070621,-57.65347659
2,119,-57.09094079,-57.70881864
2,120,-56.56365794,-57.75785624
2,121,-56.04138984,-57.80231354
2,122,-55.51685398,-57.84261715
2,123,-55.00401736,-57.88024162
2,124,-54.49384516,-57.9157172
2,125,-53.99972438,-57.94985295
2,126,-53.51292027,-57.98376268
2,127,-53.04455575,-58.01723986
2,128,-52.58790436,-58.05240037
2,129,-52.15050098,-58.08771637
2,130,-51.72895736,-58.12666794
2,131,-51.32625652,-58.16613521
2,132,-50.9433026,-58.21126749
2,133,-50.57790333,-58.25711965
2,134,-50.23585777,-58.3107491
2,135,-49.90948344,-58.36520297
2,136,-49.60976166,-58.42960096
2,137,-49.32347495,-58.49487454
2,138,-49.06680157,-58.57224527
2,139,-48.82117368,-58.65053066
2,140,-48.60775279,-58.74293638
2,141,-48.40299431,-58.83632381
2,142,-48.23264397,-58.94555043
2,143,-48.06870472,-59.05589441
2,144,-47.94096223,-59.18324445
2,145,-47.81760673,-59.31195575
2,146,-47.73181023,-59.45794799
2,147,-47.64867443,-59.60568611
2,148,-47.60402532,-59.76963216
2,149,-47.56065863,-59.93586234
2,150,-47.55626821,-60.11537021
2,151,-47.55216392,-60.29814726
2,152,-47.58716916,-60.48830613
2,153,-47.62257749,-60.68199815
2,154,-47.69571655,-60.87425973
2,155,-47.76988144,-61.06974241
2,156,-47.87969126,-61.25159003
2,157,-47.99187783,-61.43496976
2,158,-48.13745597,-61.58891208
2,159,-48.28687622,-61.7410894
2,160,-48.46728575,-61.84506764
2,161,-48.65307891,-61.94273443
2,162,-48.86730838,-61.9725355
2,163,-49.08850363,-61.99152226
2,164,-49.33540956,-61.92564021
2,165,-49.590868,-61.84651502
2,166,-49.86909723,-61.67219418
2,167,-50.15742997,-61.48597744
2,168,-50.46531877,-61.2033341
2,169,-50.78477808,-60.91404748
2,170,-51.1202255,-60.5356674
2,171,-51.46856646,-60.15824273
2,172,-51.8288805,-59.704795
2,173,-52.20319222,-59.26013678
2,174,-52.58490951,-58.75498891
2,175,-52.98141773,-58.26518134
2,176,-53.38010194,-57.73047816
2,177,-53.7939501,-57.21576871
2,178,-54.20398124,-56.67053121
2,179,-54.62900607,-56.1480572
2,180,-55.04338532,-55.60769924
4,-180,-61.27881681,-61.8894271
4,-179,-61.7002973,-61.36195628
4,-178,-62.11516843,-60.83932911
4,-177,-62.52661597,-60.32756188
4,-176,-62.92526757,-59.82646549
4,-175,-63.31556638,-59.33921002
4,-174,-63.68641158,-58.86709864
4,-173,-64.04350458,-58.41089756
4,-172,-64.37448572,-57.97316313
4,-171,-64.6863039,-57.5527284
4,-170,-64.96606389,-57.15312395
4,-169,-65.22192753,-56.77172087
4,-168,-65.44137316,-56.41272453
4,-167,-65.63366587,-56.07249604
4,-166,-65.78758119,-55.75561273
4,-165,-65.91322362,-55.45784469
4,-164,-66.00137292,-55.18384911
4,-163,-66.06250738,-54.92918192
4,-162,-66.08972388,-54.69831015
4,-161,-66.09325931,-54.48690454
4,-160,-66.06842228,-54.29900252
4,-159,-66.02459407,-54.13066768
4,-158,-65.95889708,-53.98530505
4,-157,-65.87940842,-53.85959687
4,-156,-65.78455211,-53.75615328
4,-155,-65.68090624,-53.67244899
4,-154,-65.56770777,-53.61017899
