RSS1_LoS1,RSS2_LoS1,RSS1_LoS2,RSS2_LoS2,RSS1_combined,RSS2_combined,d1,d2,room_dim_meter,theta1_true,theta2_true
0.000101239,2.06E-05,1.69E-05,5.18E-06,0.000100753,0.0000176,3.471310999,11.42147107,8.000000054,-1.36775111,-1.509469816
9.03E-05,1.91E-05,1.66E-05,5.09E-06,0.0000813,0.0000144,3.667424173,11.62110148,7.999999974,-1.37874831,-1.510524588
8.15E-05,1.78E-05,1.63E-05,4.99E-06,0.0000671,0.0000129,3.863935811,11.82074445,7.999999979,-1.388628016,-1.511543733
1.19E-05,6.67E-05,8.51E-05,1.70E-05,0.0000966,0.0000836,3.905124838,4.295346328,8.000000009,1.338239385,-1.359702994
1.25E-05,7.51E-05,7.73E-05,1.59E-05,0.0000676,0.0000598,3.710795068,4.491102304,7.999999994,1.325817664,-1.369033982
1.32E-05,8.65E-05,7.08E-05,1.50E-05,0.0000785,0.0000986,3.517101081,4.687216659,8.000000003,1.312025435,-1.377584843
1.42E-05,0.00010197,6.52E-05,1.42E-05,0.0000657,0.0000974,3.324154032,4.883646184,8.00000001,1.296628876,-1.385448377
1.56E-05,0.00012407,6.04E-05,1.35E-05,0.000055,0.00012213,3.132091949,5.080354331,8.000000009,1.279339532,-1.392703389
1.77E-05,0.000155898,5.63E-05,1.29E-05,0.0000728,0.000166237,2.941088232,5.277309908,7.999999985,1.259798046,-1.3994172
2.07E-05,0.00020367,5.28E-05,1.23E-05,0.0000347,0.000191602,2.751363301,5.474486265,7.99999999,1.237552026,-1.405647649
2.53E-05,0.000275906,4.96E-05,1.18E-05,0.0000594,0.000279976,2.563201127,5.671860369,8.000000008,1.212025657,-1.411444686
3.23E-05,0.000388782,4.68E-05,1.13E-05,0.0000765,0.000398048,2.376972867,5.869412224,7.99999999,1.182477609,-1.416851662
4.32E-05,0.000569035,4.43E-05,1.09E-05,0.0000405,0.000563059,2.193171222,6.067124517,7.999999994,1.147942401,-1.421906379
5.98E-05,0.000864342,4.20E-05,1.05E-05,0.0000242,0.00085401,2.012461181,6.264982057,8.000000015,1.107148718,-1.42664194
8.58E-05,0.001358904,3.99E-05,1.01E-05,0.0000777,0.00135148,1.835755973,6.462971476,8.000000021,1.058406866,-1.431087453
0.000126136,0.00219361,3.81E-05,9.72E-06,0.000120963,0.002185557,1.664331698,6.661081003,8.00000001,0.999458847,-1.435268613
0.000189654,0.003554085,3.64E-05,9.40E-06,0.000159204,0.003546106,1.5,6.859300238,7.999999982,0.927295218,-1.439208185
0.000288796,0.005455674,3.49E-05,9.09E-06,0.000288367,0.005464755,1.345362405,7.057619983,7.999999988,0.837981225,-1.442926408
0.000428323,0.006700613,3.35E-05,8.80E-06,0.000411006,0.006698346,1.204159458,7.256031959,7.999999986,0.726642341,-1.446441332
0.00045033,0.002306247,3.22E-05,8.53E-06,0.000435489,0.002313447,1.081665383,7.454528826,8.000000002,0.588002604,-1.449769107
0.001121173,0.016927837,3.09E-05,8.28E-06,0.001105183,0.016935688,0.98488578,7.653103971,8.000000026,0.41822433,-1.452924224
0.010672324,0.039872483,2.98E-05,8.04E-06,0.010643104,0.039864903,0.921954446,7.851751371,7.999999974,0.218668946,-1.455919721
0.033137379,0.033739395,2.88E-05,7.82E-06,0.033111718,0.033746895,0.9,8.050465799,7.999999974,0,-1.458767364
0.041474077,0.011577082,2.78E-05,7.61E-06,0.041447827,0.011575158,0.921954446,8.249242396,8.000000006,-0.218668946,-1.461477793
0.019419761,0.001470687,2.69E-05,7.41E-06,0.019396045,0.001463524,0.98488578,8.448076693,7.999999988,-0.41822433,-1.464060654
0.002609561,0.000359389,2.60E-05,7.21E-06,0.002619168,0.000365279,1.081665383,8.646964796,8.00000001,-0.588002604,-1.466524715
0.006370768,0.000404713,2.52E-05,7.03E-06,0.00638882,0.000404548,1.204159458,8.845902979,7.999999972,-0.726642341,-1.468877959
0.005534661,0.000303666,2.44E-05,6.86E-06,0.005510746,0.000310459,1.345362405,9.044888032,7.999999973,-0.837981225,-1.471127674
0.003795418,0.000219442,2.37E-05,6.69E-06,0.003771712,0.000225324,1.5,9.243916965,8.000000047,-0.927295218,-1.473280524
0.002461589,0.00015886,2.31E-05,6.54E-06,0.002455812,0.000155263,1.664331698,9.44298677,7.999999954,-0.999458847,-1.475342612
0.001603673,0.000116926,2.24E-05,6.39E-06,0.001623872,0.000117471,1.835755973,9.642095245,8.000000039,-1.058406866,-1.477319546
0.001073524,8.82E-05,2.18E-05,6.24E-06,0.001053029,0.0000872,2.012461181,9.841239797,8.000000037,-1.107148718,-1.479216477
0.000744108,6.85E-05,2.13E-05,6.11E-06,0.000758898,0.0000732,2.193171222,10.04041836,8.00000004,-1.147942401,-1.481038153
0.000534806,5.47E-05,2.07E-05,5.97E-06,0.000538082,0.0000492,2.376972867,10.23962887,7.999999968,-1.182477609,-1.482788953
0.000398065,4.50E-05,2.02E-05,5.85E-06,0.000378252,0.0000446,2.563201127,10.43886969,8.000000016,-1.212025657,-1.484472926
0.000306306,3.79E-05,1.97E-05,5.73E-06,0.00031184,0.0000436,2.751363301,10.63813894,8.000000002,-1.237552026,-1.486093816
0.000242526,3.27E-05,1.92E-05,5.61E-06,0.000261688,0.0000355,2.941088232,10.83743513,8.000000011,-1.259798046,-1.487655095
0.000197547,2.87E-05,1.88E-05,5.50E-06,0.000202858,0.0000255,3.132091949,11.03675682,8.000000054,-1.279339532,-1.489159985
0.000164495,2.56E-05,1.84E-05,5.39E-06,0.000151277,0.0000203,3.324154032,11.23610246,7.999999928,-1.296628876,-1.490611479
