sample_id,split,domain_id,is_labeled,rss1_combined_dbm,rss2_combined_dbm,delta_db,sum_db,log_ratio,c1_dbm,c2_dbm,rss_a_p1_dbm,rss_b_p1_dbm,rss_a_p2_dbm,rss_b_p2_dbm,theta1_rad,theta2_rad,d1_m,d2_m,room_dim_m,mask_4rss_is_gt
5344,train,0,1,10.357661560541993,6.21948182418813,-4.138179736353863,16.577143384730125,-0.9528510973058436,10.357661560541993,6.21948182418813,10.314230886195732,6.2115124158663555,-9.354933425668117,-18.728952016351922,-0.203045217,-1.198242068,3.471310991,9.340770838,7.999999992,1
5345,train,0,1,9.827846636074996,4.579822117125173,-5.248024518949824,14.40766875320017,-1.2084023025001112,9.827846636074996,4.579822117125173,9.80053073856725,4.569921197465175,-9.684582379009262,-18.927900303521316,-0.258770892,-1.205883228,3.517101079,9.527329121,8.00000001,1
5346,train,0,1,9.033066458865136,2.6803124987470133,-6.352753960118123,11.71337895761215,-1.4627756568026877,9.033066458865136,2.6803124987470133,8.979665878399336,2.6526274686894347,-10.0,-19.1721462968355,-0.312901228,-1.213230475,3.573513677,9.714422262,7.999999993,1
5347,train,0,1,7.808693721690947,0.38245704679188475,-7.426236674899062,8.191150768482832,-1.709954186466825,7.808693721690947,0.38245704679188475,7.827946423263158,0.42570393798725503,-10.310503190186573,-19.355420107730815,-0.36520145,-1.220299699,3.640054945,9.902019986,7.999999989,1
5348,train,0,1,6.321118451647314,-2.1249206032622805,-8.446039054909594,4.196197848385033,-1.944772362268035,6.321118451647314,-2.1249206032622805,6.280387986900669,-2.200609696448953,-10.609802235513335,-19.58607314841775,-0.415492096,-1.22710572,3.716180835,10.09009416,8.000000008,1
5349,train,0,1,4.071304196575853,-5.391246990645375,-9.462551187221228,-1.3199427940695223,-2.1788329305388707,4.071304196575853,-5.391246990645375,4.204948966099652,-5.461177492318013,-10.893755951107988,-19.746941347352298,-0.463647609,-1.233662371,3.801315562,10.2786186,8.000000016,1
5350,train,0,1,1.155652495076947,-10.109953843014631,-11.265606338091578,-8.954301347937685,-2.594001721762891,1.155652495076947,-10.109953843014631,1.3409004863586915,-10.074464821678644,-11.174754620451194,-19.956786262173573,-0.509592265,-1.239982576,3.894868419,10.46756895,7.999999985,1
5351,train,0,1,-1.7417288058886324,-14.38898616350944,-12.647257357620807,-16.13071496939807,-2.9121386258916937,-1.7417288058886324,-14.38898616350944,-1.5946797870121123,-13.54577730650908,-11.444808443322,-20.13228265733755,-0.553294325,-1.246078422,3.99624824,10.65692263,7.999999999,1
5352,train,0,1,-0.5638579755265112,-10.752040042020878,-10.188182066494367,-11.31589801754739,-2.3459156151019203,-0.5638579755265112,-10.752040042020878,-0.3418939628535175,-10.757207139381183,-11.70696227168975,-20.305840876460188,-0.594759257,-1.251961216,4.104875149,10.84665847,8.000000001,1
5353,train,0,1,1.0929702475572596,-9.445337481845701,-10.53830772940296,-8.352367234288442,-2.426535028310719,1.0929702475572596,-9.445337481845701,1.180086384697979,-9.71945490930392,-11.965428843515863,-20.472075569559077,-0.63402272,-1.257641549,4.22018957,11.03675676,7.999999988,1
