sample_id,split,domain_id,is_labeled,c1_rel_db,c2_rel_db,delta_rel_db,sum_rel_db,log_ratio,c1_dbm,c2_dbm,rss_a_p1_rel_db,rss_b_p1_rel_db,rss_a_p2_rel_db,rss_b_p2_rel_db,theta1_rad,theta2_rad,d1_m,d2_m,room_dim_m,mask_4rss_is_gt
2187,train,0,1,-30.85230163818336,-27.79471686878007,3.057584769403288,-58.647018506963434,0.7040349110593651,-60.85230163818336,-57.79471686878007,-40.02176919254275,-27.90956531298719,-30.415154341240566,-42.2767829327708,0.785398163,-0.934288111,4.80832611,5.720139858,7.999999997,1
2188,train,0,1,-30.46012834256178,-27.75123159913988,2.7088967434218993,-58.21135994170166,0.6237465259863384,-60.46012834256178,-57.751231599139885,-39.59354153510518,-27.6418859638652,-30.912378717114994,-42.65200170411153,0.755104403,-0.954499389,4.66904701,5.882176465,7.999999993,1
2189,train,0,1,-32.05180259536161,-27.431110708918794,4.620691886442813,-59.4829133042804,1.0639536257041764,-62.05180259536161,-57.431110708918794,-39.22011079884952,-27.509739265318224,-31.413972421456215,-43.02770657240282,0.722979353,-0.973619669,4.534313618,6.046486586,8.000000001,1
2190,train,0,1,-31.132313025330802,-27.586054494351732,3.5462585309790704,-58.71836751968253,0.8165562029335368,-61.1323130253308,-57.58605449435173,-38.947623992539775,-27.57939344310821,-31.915945499246607,-43.3913452199613,0.688924388,-0.991722057,4.404543108,6.212889823,7.999999994,1
2191,train,0,1,-32.998052765377146,-28.06613790191724,4.931914863459905,-61.06419066729438,1.1356153644518543,-62.998052765377146,-58.066137901917244,-38.86568079908352,-27.965768043530623,-32.415612468599605,-43.75717904164332,0.652846631,-1.008874765,4.280186911,6.381222458,8.000000005,1
2192,train,0,1,-33.64359452931632,-28.888514531734334,4.7550799975819835,-62.53210906105065,1.0948976318426438,-63.64359452931632,-58.88851453173433,-39.165332145261125,-28.93526240284794,-32.910431492577665,-44.12289034981089,0.614662952,-1.025141272,4.16173041,6.551335739,7.999999997,1
2193,train,0,1,-33.1470890775146,-31.07600941126745,2.071079666247151,-64.22309848878206,0.47688371659037726,-63.1470890775146,-61.07600941126745,-40.376306643299785,-31.24422522618929,-33.398985278049345,-44.47331783887806,0.57430483,-1.040580554,4.049691346,6.723094525,7.999999999,1
2194,train,0,1,-33.74801797921223,-35.081580459791105,-1.3335624805788768,-68.82959843900333,-0.3070641088357081,-63.74801797921223,-65.0815804597911,-45.93459819566044,-34.84593804174836,-33.87983721695226,-44.82804102050026,0.531724067,-1.055247319,3.944616584,6.896375856,7.999999994,1
2195,train,0,1,-34.19338416582124,-28.864931659143288,5.328452506677955,-63.05831582496453,1.2269215310603414,-64.19338416582124,-58.86493165914329,-39.867792476257726,-28.791869436620786,-34.35190772338102,-45.17126416391246,0.486899232,-1.069192273,3.847076813,7.071067817,8.000000007,1
2196,train,0,1,-31.827374862008607,-25.54685422933804,6.280520632670566,-57.37422909134665,1.446143318502878,-61.82737486200861,-55.54685422933804,-34.83428932134187,-25.585439884792148,-34.81491324329555,-45.49750891680639,0.439842583,-1.082462376,3.757658846,7.247068376,8.000000005,1
2197,train,0,1,-32.52397890078211,-23.50386152893784,9.020117371844272,-56.02784042971995,2.076958779746525,-62.52397890078211,-53.50386152893784,-31.55219731606014,-23.486349419475538,-35.26599167466771,-45.833594926617195,0.390607044,-1.095101108,3.676955263,7.424284478,8.000000002,1
